influent_source,ts,Sludge Volume (ml/L),ammonium,temperature,COD,containment_type
Influent- Septic tank,0.9,2,95.7,30.5,458,septic_tank
Influent- Lined pit latrine,15.1,4,1340,30.9,"5,350",lined_latrine
Influent- Lined pit latrine,18.15,40.3,805.1,28.3,-,lined_latrine
Influent- unlined pit latrine,2.8,4.5,176.3,28.1,320,unlined_latrine
Septic tank,1.85,1.6,181.2,29.8,331,septic_tank
Septic tank,1.4,15,484,28.3,"7,250",septic_tank
lined-schools,21.1,0.8,2243,29.7,"2,160",lined_latrine
lined pit latrine,5.5,200,124.4,28,"2,770",lined_latrine
Influent- Lined pit latrine,7,170,309,29,"3,360",lined_latrine
Influent- Lined pit latrine,23.7,0.8,2370,28.9,410,lined_latrine
lined-schools,4.6,1.6,195,30.5,959,lined_latrine
lined pit latrine,12,10.2,472,28.9,"3,410",lined_latrine
lined pit latrine,12.2,17,2596,30.5,"3,950",lined_latrine
Lined- school,22.1,4.1,2099,30.5,502,lined_latrine
Lined- Residential,9.7,1,2266,30.1,"3,430",lined_latrine
Lined- Residential,-,0.7,696,29.7,"1,060",lined_latrine
lined-schools,-,0.5,116.7,28.6,"2,050",lined_latrine
Lined- WMC,2,10,53.18,29.4,"1,087",lined_latrine
